,Dataset,Frame,Synthesized View,X.passes,WS.PSNR,CEL,theo_time,p1,p2,p3
118,ClassroomVideo,20,2,3,30.7566,0.0733723047959455,146.603,3,4,6
119,ClassroomVideo,20,2,3,30.7566,0.07097583023760665,151.553,3,4,7
120,ClassroomVideo,20,2,3,31.0633,0.07546434929708123,146.603,3,5,6
121,ClassroomVideo,20,2,3,31.0633,0.07299954471373052,151.553,3,5,7
122,ClassroomVideo,20,2,3,31.1782,0.07375769532770714,151.553,3,6,7
123,ClassroomVideo,20,2,3,31.0718,0.07552232901100249,146.603,4,5,6
124,ClassroomVideo,20,2,3,31.0718,0.07305563070345028,151.553,4,5,7
125,ClassroomVideo,20,2,3,31.1867,0.0738137813174269,151.553,4,6,7
126,ClassroomVideo,20,2,3,31.1997,0.0738995598899395,151.553,5,6,7
127,ClassroomVideo,20,3,1,36.121,0.11943693276532694,134.975,1,0,0
128,ClassroomVideo,20,3,1,36.1069,0.11288986388931722,142.678,2,0,0
129,ClassroomVideo,20,3,1,36.1018,0.11245451688375177,143.185,3,0,0
130,ClassroomVideo,20,3,1,36.11,0.11234936398125418,143.392,4,0,0
131,ClassroomVideo,20,3,1,35.7479,0.10860845396801314,144.997,5,0,0
132,ClassroomVideo,20,3,1,35.619,0.10653942961603786,146.603,6,0,0
133,ClassroomVideo,20,3,1,35.5843,0.10283069289291534,151.553,7,0,0
134,ClassroomVideo,20,3,2,36.1215,0.1129921922090301,142.678,1,2,0
135,ClassroomVideo,20,3,2,36.1215,0.11259210112791142,143.185,1,3,0
136,ClassroomVideo,20,3,2,36.1474,0.11261018745815665,143.392,1,4,0
137,ClassroomVideo,20,3,2,36.2294,0.11192921232853091,144.997,1,5,0
138,ClassroomVideo,20,3,2,36.2304,0.1107098763326808,146.603,1,6,0
139,ClassroomVideo,20,3,2,36.2288,0.10708333058402011,151.553,1,7,0
140,ClassroomVideo,20,3,2,36.1069,0.11249013513985405,143.185,2,3,0
141,ClassroomVideo,20,3,2,36.1326,0.11250697388975672,143.392,2,4,0
142,ClassroomVideo,20,3,2,36.2143,0.111825072242874,144.997,2,5,0
143,ClassroomVideo,20,3,2,36.2161,0.11061233399043673,146.603,2,6,0
144,ClassroomVideo,20,3,2,36.2147,0.10699029382460262,151.553,2,7,0
145,ClassroomVideo,20,3,2,36.1276,0.11247210444097301,143.392,3,4,0
146,ClassroomVideo,20,3,2,36.2092,0.11178989910136072,144.997,3,5,0
147,ClassroomVideo,20,3,2,36.2109,0.11057686404780258,146.603,3,6,0
148,ClassroomVideo,20,3,2,36.2095,0.10695598239559757,151.553,3,7,0
149,ClassroomVideo,20,3,2,36.193,0.11167817265184794,144.997,4,5,0
150,ClassroomVideo,20,3,2,36.1953,0.11047045421990001,146.603,4,6,0
151,ClassroomVideo,20,3,2,36.1938,0.10685238827340933,151.553,4,7,0
152,ClassroomVideo,20,3,2,35.7541,0.10746096601024535,146.603,5,6,0
153,ClassroomVideo,20,3,2,35.7526,0.10394119548936677,151.553,5,7,0
154,ClassroomVideo,20,3,2,35.6179,0.10305239751110172,151.553,6,7,0
155,ClassroomVideo,20,3,3,36.1215,0.11259210112791142,143.185,1,2,3
156,ClassroomVideo,20,3,3,36.1215,0.1124295637134568,143.392,1,2,4
157,ClassroomVideo,20,3,3,36.1215,0.11118505900122069,144.997,1,2,5
158,ClassroomVideo,20,3,3,36.1215,0.10996705388020707,146.603,1,2,6
159,ClassroomVideo,20,3,3,36.1215,0.10637532744320467,151.553,1,2,7
160,ClassroomVideo,20,3,3,36.1215,0.1124295637134568,143.392,1,3,4
161,ClassroomVideo,20,3,3,36.1215,0.11118505900122069,144.997,1,3,5
162,ClassroomVideo,20,3,3,36.1215,0.10996705388020707,146.603,1,3,6
163,ClassroomVideo,20,3,3,36.1215,0.10637532744320467,151.553,1,3,7
164,ClassroomVideo,20,3,3,36.1474,0.1113636833865528,144.997,1,4,5
165,ClassroomVideo,20,3,3,36.1474,0.11014372147909658,146.603,1,4,6
166,ClassroomVideo,20,3,3,36.1474,0.10654622475305667,151.553,1,4,7
167,ClassroomVideo,20,3,3,36.2294,0.11070305518986649,146.603,1,5,6
168,ClassroomVideo,20,3,3,36.2294,0.10708728959505914,151.553,1,5,7
169,ClassroomVideo,20,3,3,36.2304,0.10709388794679091,151.553,1,6,7
170,ClassroomVideo,20,3,3,36.1069,0.11232774492300829,143.392,2,3,4
171,ClassroomVideo,20,3,3,36.1069,0.11108436726277096,144.997,2,3,5
172,ClassroomVideo,20,3,3,36.1069,0.10986746519511881,146.603,2,3,6
173,ClassroomVideo,20,3,3,36.1069,0.10627899150792135,151.553,2,3,7
174,ClassroomVideo,20,3,3,36.1326,0.11126161230922016,144.997,2,4,5
175,ClassroomVideo,20,3,3,36.1326,0.11004276856544543,146.603,2,4,6
176,ClassroomVideo,20,3,3,36.1326,0.10644856914742695,151.553,2,4,7
177,ClassroomVideo,20,3,3,36.2143,0.11060005593337108,146.603,2,5,6
178,ClassroomVideo,20,3,3,36.2143,0.10698765448390993,151.553,2,5,7
179,ClassroomVideo,20,3,3,36.2161,0.10699953151702703,151.553,2,6,7
180,ClassroomVideo,20,3,3,36.1276,0.11122712883714835,144.997,3,4,5
181,ClassroomVideo,20,3,3,36.1276,0.11000866285137412,146.603,3,4,6
182,ClassroomVideo,20,3,3,36.1276,0.10641557738876829,151.553,3,4,7
183,ClassroomVideo,20,3,3,36.2092,0.11056526810501832,146.603,3,5,6
184,ClassroomVideo,20,3,3,36.2092,0.10695400289007807,151.553,3,5,7
185,ClassroomVideo,20,3,3,36.2109,0.10696522008802203,151.553,3,6,7
186,ClassroomVideo,20,3,3,36.193,0.11045476559142717,146.603,4,5,6
187,ClassroomVideo,20,3,3,36.193,0.1068471095920239,151.553,4,5,7
188,ClassroomVideo,20,3,3,36.1953,0.10686228580100693,151.553,4,6,7
189,ClassroomVideo,20,3,3,35.7541,0.10395109301696437,151.553,5,6,7
190,ClassroomVideo,20,4,1,34.9852,0.11102204111872568,134.975,1,0,0
191,ClassroomVideo,20,4,1,34.9833,0.10501478854483523,142.678,2,0,0
192,ClassroomVideo,20,4,1,34.9823,0.10463596047071971,143.185,3,0,0
193,ClassroomVideo,20,4,1,34.855,0.103597132336532,143.392,4,0,0
194,ClassroomVideo,20,4,1,34.8356,0.10231659965378592,144.997,5,0,0
195,ClassroomVideo,20,4,1,34.8197,0.10108729016459415,146.603,6,0,0
196,ClassroomVideo,20,4,1,34.7807,0.09752825744129119,151.553,7,0,0
197,ClassroomVideo,20,4,2,34.9852,0.10502810524397595,142.678,1,2,0
198,ClassroomVideo,20,4,2,34.9852,0.10465621398889548,143.185,1,3,0
199,ClassroomVideo,20,4,2,34.9852,0.10450513278286097,143.392,1,4,0
200,ClassroomVideo,20,4,2,34.9852,0.10334834513817526,144.997,1,5,0
201,ClassroomVideo,20,4,2,34.9852,0.10221618930035536,146.603,1,6,0
202,ClassroomVideo,20,4,2,34.9852,0.09887762037043146,151.553,1,7,0
203,ClassroomVideo,20,4,2,34.9833,0.10464294444250445,143.185,2,3,0
204,ClassroomVideo,20,4,2,34.9833,0.10449188239232314,143.392,2,4,0
205,ClassroomVideo,20,4,2,34.9833,0.10333524141878796,144.997,2,5,0
206,ClassroomVideo,20,4,2,34.9833,0.10220322912900827,146.603,2,6,0
207,ClassroomVideo,20,4,2,34.9833,0.09886508350214117,151.553,2,7,0
208,ClassroomVideo,20,4,2,34.9823,0.1044849085025664,143.392,3,4,0
209,ClassroomVideo,20,4,2,34.9823,0.10332834472437362,144.997,3,5,0
210,ClassroomVideo,20,4,2,34.9823,0.10219640798619402,146.603,3,6,0
211,ClassroomVideo,20,4,2,34.9823,0.09885848515040944,151.553,3,7,0
212,ClassroomVideo,20,4,2,34.8534,0.10243936081436167,144.997,4,5,0
213,ClassroomVideo,20,4,2,34.8532,0.10131579844887212,146.603,4,6,0
214,ClassroomVideo,20,4,2,34.8525,0.0980020190956299,151.553,4,7,0
215,ClassroomVideo,20,4,2,34.8355,0.10119506422105962,146.603,5,6,0
216,ClassroomVideo,20,4,2,34.8347,0.09788456843480497,151.553,5,7,0
217,ClassroomVideo,20,4,2,34.819,0.09778097431261673,151.553,6,7,0
218,ClassroomVideo,20,4,3,34.9852,0.10465621398889548,143.185,1,2,3
219,ClassroomVideo,20,4,3,34.9852,0.10450513278286097,143.392,1,2,4
